company_name,year,revenue,cogs,ebit,net_income,total_assets,total_equity,total_debt,shares_outstanding,share_price,ebitda
Apple Inc.,2015,233000,139800,58250,53000,290000,120000,75000,5700,120,69900
Apple Inc.,2016,216000,129600,54000,45000,320000,128000,85000,5400,110,64800
Apple Inc.,2017,229000,137400,57250,48000,375000,134000,97000,5100,170,68700
Apple Inc.,2018,266000,159600,66500,60000,365000,107000,110000,4800,160,79800
Apple Inc.,2019,260000,156000,65000,55000,338000,90000,108000,4600,260,78000
Apple Inc.,2020,274000,164400,73980,57000,324000,65000,112000,4400,130,87680
Apple Inc.,2021,365000,219000,98550,94000,351000,63000,120000,4300,170,116800
Apple Inc.,2022,394000,236400,106380,99000,352000,60000,120000,4200,150,126080
Apple Inc.,2023,383000,229800,103410,97000,352000,55000,115000,4100,190,122560
Apple Inc.,2024,391000,234600,105570,94000,360000,50000,110000,4000,200,125120
Credit Suisse Group AG,2015,22000,6600,4400,2500,980000,46000,300000,2500,25,5060
Credit Suisse Group AG,2016,21000,6300,4200,2200,820000,44000,290000,2600,14,4830
Credit Suisse Group AG,2017,20000,6000,4000,1800,776000,42000,285000,2700,18,4600
Credit Suisse Group AG,2018,21000,6300,4200,1600,705000,40000,280000,2800,14,4830
Credit Suisse Group AG,2019,22000,6600,4400,2000,789000,44000,290000,2900,13,5060
Credit Suisse Group AG,2020,22400,6720,4480,2670,823000,47000,300000,3000,11,5152
Credit Suisse Group AG,2021,22700,6810,-2270,-600,912000,47000,305000,3100,10,-1589
Credit Suisse Group AG,2022,14900,4470,-1490,-7300,531000,45100,310000,3300,5,-1043
Credit Suisse Group AG,2023,10000,3000,-1000,-2000,520000,40000,320000,3600,3,-700
Credit Suisse Group AG,2024,0,0,0,0,0,0,0,3900,0.82,0
GNB Corp,2015,700.0,420.0,140.0,105.0,560.0,280.0,140.0,100,20.0,161.0
GNB Corp,2016,749.0,449.4,149.8,112.3,599.2,299.6,149.8,100,21.2,172.3
GNB Corp,2017,801.4,480.8,160.3,120.2,641.1,320.6,160.3,100,22.4,184.3
GNB Corp,2018,857.5,514.5,171.5,128.6,686.0,343.0,171.5,100,23.6,197.2
GNB Corp,2019,917.6,550.6,183.5,137.6,734.1,367.1,183.6,100,24.8,211.0
GNB Corp,2020,981.8,589.1,196.4,147.3,785.4,392.7,196.3,100,26.0,225.9
GNB Corp,2021,1050.5,630.3,210.1,157.6,840.4,420.2,210.1,100,27.2,241.6
GNB Corp,2022,1124.0,674.4,224.8,168.6,899.2,449.6,224.8,100,28.4,258.5
GNB Corp,2023,1202.7,721.6,240.5,180.4,962.2,481.1,240.6,100,29.6,276.6
GNB Corp,2024,1286.9,772.1,257.4,193.0,1029.5,514.8,257.4,100,30.8,296.0
Netflix Inc.,2015,6800,4216,1020,120,11000,3200,2400,430,120,1428
Netflix Inc.,2016,8800,5456,1320,190,13000,3500,3400,432,130,1848
Netflix Inc.,2017,11700,7254,1755,560,20000,4000,6500,434,190,2457
Netflix Inc.,2018,15800,9796,3160,1210,25000,5000,10400,436,260,4108
Netflix Inc.,2019,20100,12462,4020,1870,33000,6000,14800,438,320,5226
Netflix Inc.,2020,25000,15500,5000,2760,39000,7000,15800,441,500,6500
Netflix Inc.,2021,29700,18414,6831,5120,44000,9000,15400,443,540,8613
Netflix Inc.,2022,31600,19592,7268,4490,48000,9500,14200,445,300,9164
Netflix Inc.,2023,33700,20894,7751,5410,50000,10000,14000,447,450,9773
Netflix Inc.,2024,39000,24180,8970,8710,52000,11000,13500,449,550,11310
Wayne Enterprises,2015,10000.0,6500.0,1600.0,1200.0,15000.0,6000.0,9000.0,500,40,2000.0
Wayne Enterprises,2016,10900.0,7085.0,1744.0,1308.0,16350.0,6540.0,9810.0,500,42,2180.0
Wayne Enterprises,2017,11800.0,7670.0,1888.0,1416.0,17700.0,7080.0,10620.0,500,44,2360.0
Wayne Enterprises,2018,12700.0,8255.0,1016.0,508.0,19050.0,7620.0,11430.0,500,46,1524.0
Wayne Enterprises,2019,13600.0,8840.0,2176.0,1632.0,20400.0,8160.0,12240.0,500,48,2720.0
Wayne Enterprises,2020,14500.0,9425.0,1160.0,580.0,21750.0,8700.0,13050.0,500,50,1740.0
Wayne Enterprises,2021,15400.0,10010.0,2464.0,1848.0,23100.0,9240.0,13860.0,500,52,3080.0
Wayne Enterprises,2022,16300.0,10595.0,2608.0,1956.0,24450.0,9780.0,14670.0,500,54,3260.0
Wayne Enterprises,2023,17200.0,11180.0,2752.0,2064.0,25800.0,10320.0,15480.0,500,56,3440.0
Wayne Enterprises,2024,18100.0,11765.0,2896.0,2172.0,27150.0,10860.0,16290.0,500,58,3620.0
